,Method,model,n,d,p,prop_miss,seed,time,citcio,m,r,d_miwae,sig_prior,num_samples_zmul,learning_rate,n_epochs,tau_dr,tau_ols,tau_ols_ps,tau_resid
0,Z,dlvm,200,3,10,0,0,0,False,,,,,,,,1.0028967968082128,1.0051540808100152,1.0092732932973265,1.0010953890148444
1,X,dlvm,200,3,10,0,0,0,False,,,,,,,,0.9504649344226795,0.9739198930556794,0.972727982418118,0.9628551954429496
2,Mean_imp,dlvm,200,3,10,0,0,0,False,,,,,,,,0.9504649344226795,0.9739198930556794,0.972727982418118,0.9628551954429496
3,MI,dlvm,200,3,10,0,0,0,False,10.0,,,,,,,0.9504649344226797,0.9739198930556794,0.9727279824181178,0.9628551954429495
4,MF,dlvm,200,3,10,0,0,2,False,,2.0,,,,,,1.0503954034352674,1.0501526800854533,1.0374070913055624,0.9292984380450117
5,MDC.process,dlvm,200,3,10,0,0,58,False,,,3.0,0.1,50.0,0.0001,10.0,1.0302242136445676,1.0304348179986556,1.036842080541563,1.0266682957187898
6,MDC.mi,dlvm,200,3,10,0,0,58,False,,,3.0,0.1,50.0,0.0001,10.0,1.0326613374062132,1.0323675814242936,1.0327027685251595,1.0251096561033954
7,Z,dlvm,200,3,10,0.1,0,0,False,,,,,,,,1.0028967968082128,1.0051540808100152,1.0092732932973265,1.0010953890148444
8,X,dlvm,200,3,10,0.1,0,0,False,,,,,,,,0.9504649344226795,0.9739198930556794,0.972727982418118,0.9628551954429496
9,Mean_imp,dlvm,200,3,10,0.1,0,0,False,,,,,,,,0.9599825839487386,0.9673759606142426,0.9670837519248814,0.9633630686713355
10,MI,dlvm,200,3,10,0.1,0,2,False,10.0,,,,,,,0.9608611762063362,0.9743410509083101,0.9745020012096969,0.9719293748262823
11,MF,dlvm,200,3,10,0.1,0,2,False,,3.0,,,,,,0.9442659556899851,0.9564087992857839,0.9572755845695986,0.816166203294575
12,MDC.process,dlvm,200,3,10,0.1,0,52,False,,,3.0,0.1,50.0,0.0001,10.0,1.0280778238382455,1.0273315227177653,1.0268137520885323,1.016632094824517
13,MDC.mi,dlvm,200,3,10,0.1,0,52,False,,,3.0,0.1,50.0,0.0001,10.0,1.0321287109075683,1.0318517228133919,1.03145208710733,1.0241439198940405
