,Method,model,n,d,p,snr,prop_miss,seed,time,citcio,m,r,d_miwae,sig_prior,num_samples_zmul,learning_rate,n_epochs,elbo,tau_dr,tau_ols,tau_ols_ps,tau_resid
0,Z,dlvm,1000,3,10,1.0,0.1,0,0,False,,,,,,,,,-0.6744578166126911,-0.9887087471636622,-2.7781748344481767,-0.992461198654341
1,X,dlvm,1000,3,10,1.0,0.1,0,0,False,,,,,,,,,-0.4465535644409637,-0.6005469266378018,-1.4381771481465535,-0.5737265843055311
2,Mean_imp,dlvm,1000,3,10,1.0,0.1,0,0,False,,,,,,,,,-0.08699291533674396,-0.16794306890030156,-1.1483294269645399,-0.14987990777946616
3,MI,dlvm,1000,3,10,1.0,0.1,0,5,False,10.0,,,,,,,,-0.5485168861067479,-0.17466406668406728,-0.28232158658244144,-0.25577332221216753
4,MF,dlvm,1000,3,10,1.0,0.1,0,380,False,,10.0,,,,,,,-0.15076695602460813,-0.31007762395535726,-1.0309877762830224,-0.27135988542220874
5,MDC.process,dlvm,1000,3,10,1.0,0.1,0,205,False,,,3.0,0.1,20.0,0.0001,10.0,-26.27313995361328,-0.4083853033679866,-0.3812638066351414,-0.390676230608716,-0.4118667780552264
6,MDC.mi,dlvm,1000,3,10,1.0,0.1,0,205,False,,,3.0,0.1,20.0,0.0001,10.0,-26.27313995361328,-0.0409558337130279,-0.04072208827814103,-0.03900712576977668,-0.04065377434234826
7,Z,dlvm,1000,3,10,1.0,0.1,1,0,False,,,,,,,,,2.081324997830949,1.6953560699914187,1.2632499931394763,1.6210176607914073
8,X,dlvm,1000,3,10,1.0,0.1,1,0,False,,,,,,,,,0.9971242259676089,0.7890632839837917,-0.37845422524108097,0.8235045300271683
9,Mean_imp,dlvm,1000,3,10,1.0,0.1,1,0,False,,,,,,,,,0.9752833177679137,0.7786012754361631,-0.1331995693612559,0.824300008119075
10,MI,dlvm,1000,3,10,1.0,0.1,1,2,False,10.0,,,,,,,,0.2229188594122053,0.9825321501557676,0.8194515677331576,0.8537801072650885
11,MF,dlvm,1000,3,10,1.0,0.1,1,320,False,,10.0,,,,,,,0.8447194628301139,0.6096627060523944,-0.39621914296775934,0.6599469650056391
12,MDC.process,dlvm,1000,3,10,1.0,0.1,1,204,False,,,3.0,0.1,20.0,0.0001,10.0,-26.622814178466797,1.8681406782032226,1.8664755113826486,1.8859507592705935,1.8681091397297365
13,MDC.mi,dlvm,1000,3,10,1.0,0.1,1,204,False,,,3.0,0.1,20.0,0.0001,10.0,-26.622814178466797,1.808706977686199,1.8076437674635155,1.8055877637652635,1.8076745405827281
14,Z,dlvm,1000,3,10,5.0,0.1,0,0,False,,,,,,,,,0.665108436677462,0.6022582505672678,0.24436503311036473,0.6009622203294172
15,X,dlvm,1000,3,10,5.0,0.1,0,0,False,,,,,,,,,0.6665743306902523,0.6376984594557803,0.473997996177515,0.6450907569777908
16,Mean_imp,dlvm,1000,3,10,5.0,0.1,0,0,False,,,,,,,,,0.7399450702784504,0.7259341304640504,0.5203568393620306,0.7316542722196266
17,MI,dlvm,1000,3,10,5.0,0.1,0,2,False,10.0,,,,,,,,0.6417198087544496,0.7192018730725938,0.6991151192105265,0.7065357270868902
18,MF,dlvm,1000,3,10,5.0,0.1,0,324,False,,10.0,,,,,,,0.7233561623301888,0.6951361957354292,0.5431024726364759,0.7032818300983772
19,MDC.process,dlvm,1000,3,10,5.0,0.1,0,208,False,,,3.0,0.1,20.0,0.0001,10.0,-26.223392486572266,0.7985364650901761,0.8007586566556121,0.8014503281129997,0.7988076373940726
20,MDC.mi,dlvm,1000,3,10,5.0,0.1,0,208,False,,,3.0,0.1,20.0,0.0001,10.0,-26.223392486572266,0.8421959194672741,0.8418350200956504,0.841868802976211,0.8418718416706067
21,Z,dlvm,1000,3,10,5.0,0.1,1,0,False,,,,,,,,,1.21626499956619,1.139071213998284,1.0526499986278954,1.1189059693286814
22,X,dlvm,1000,3,10,5.0,0.1,1,0,False,,,,,,,,,0.977771569197333,0.9380761743217995,0.6764411366395604,0.9465278899718309
23,Mean_imp,dlvm,1000,3,10,5.0,0.1,1,0,False,,,,,,,,,0.9733179975005525,0.9359452068133884,0.722884149433545,0.9471825265911398
24,MI,dlvm,1000,3,10,5.0,0.1,1,2,False,10.0,,,,,,,,0.8011226032644279,0.9717149597309247,0.939775532225372,0.9485038048414282
25,MF,dlvm,1000,3,10,5.0,0.1,1,320,False,,10.0,,,,,,,0.9392084245163287,0.8934815148340668,0.6569198013897225,0.9059906037454416
26,MDC.process,dlvm,1000,3,10,5.0,0.1,1,206,False,,,3.0,0.1,20.0,0.0001,10.0,-25.825763702392578,1.2583618596009276,1.246229876584885,1.2824611933008179,1.2558665304329972
27,MDC.mi,dlvm,1000,3,10,5.0,0.1,1,206,False,,,3.0,0.1,20.0,0.0001,10.0,-25.825763702392578,1.2382012558436943,1.237883359187142,1.2385580353070063,1.2378731455843346
28,Z,dlvm,1000,3,10,10.0,0.1,0,0,False,,,,,,,,,0.8325542183387309,0.8011291252836336,0.6221825165551824,0.8001401477023874
